k,inertia,silhouette,elapsed_ms,partition_strategy
2,13039.964619396602,0.7821307736422619,7913.875102996826,DEFAULT
3,739.0254217718589,0.9797305638729684,5770.4901695251465,DEFAULT
4,707.0158367491987,0.726044211340149,4827.276945114136,DEFAULT
5,684.8549436524602,0.7232229791774544,5302.664756774902,DEFAULT
2,13064.282706089629,0.7814208416561269,5570.441722869873,OPTIMIZED
3,739.0254217718588,0.9797305638729688,4369.074583053589,OPTIMIZED
4,707.1652558844612,0.7253338684410927,4836.794376373291,OPTIMIZED
5,675.2366072820715,0.4712565914229558,5018.393754959106,OPTIMIZED
